OBJECTID,IESCARACTE,Institución,Sector,Sede,Dirección,Teléfono,Página web,coord_x,coord_y
206,4,Universidad Nacional Abierta y A Distancia,Oficial,Alterna,TV 31 12 38 SUR,2038338,www.unad.edu.co/,-74.10901065133591,4.597675438975415
207,3,Escuela Superior de Administración Publica,Oficial,Principal,CL 44 53 37,2202790,www.esap.edu.co/,-74.09301929000902,4.644053771556485
208,3,Dirección Nacional de Escuelas,Oficial,Principal,TV 33 47B 03 SUR,3159183,www.policia.edu.co/,-74.1320205382995,4.589070376110396
209,3,Institución Universitaria Colegios de Colombia,Privado,Principal,KR 9 13 40 PISO 4,6683535,www.odontologico.edu.co/,-74.07519252323297,4.602523342721898
210,3,Fundación Universitaria de Ciencias de la Salud,Privado,Principal,KR 19  8A 26,5998977,www.fucsalud.edu.co/,-74.08747410833776,4.602994155418897
211,3,Colegio de Estudios Superiores de Administración,Privado,Principal,CL 35 6 16,3395300,www.cesa.edu.co/,-74.06601160628198,4.622231789095437
212,3,Fundación Universitaria Juan N. Corpas,Privado,Principal,KR 111 159A 61,6622222,www.juancorpas.edu.co/,-74.09317772857061,4.761183505800665
213,3,Fundación Universitaria San Martin,Privado,Principal,CL 61A  14 20,3451511,www.sanmartin.edu.co/,-74.06481913855637,4.648529630421224
214,3,Fundación Universitaria Monserrate,Privado,Principal,AC 72 11 41,2553226,www.fum.edu.co/,-74.05955910371588,4.657112797088363
215,3,Fundación Universitaria Konrad Lorenz,Privado,Principal,KR 9 BIS  62 43,3472311,www.konradlorenz.edu.co/,-74.06151175637761,4.648498211330202
216,3,Fundación Universitaria Los Libertadores,Privado,Principal,KR 16 63A 68,2544750,www.ulibertadores.edu.co/,-74.06663304193091,4.651499525518221
217,3,Fundación Universitaria Agraria de Colombia,Privado,Principal,AC 170 54A 10,6700666,www.uniagraria.edu.co/,-74.05332160392989,4.754324233884118
218,3,Politécnico Grancolombiano,Privado,Principal,CL 57 3 00 ESTE,3468800,www.poligran.edu.co/,-74.05493967367417,4.6368297637594145
219,3,Fundación Universitaria del Área Andina,Privado,Principal,CL 71 13 21,3466600,www.areandina.edu.co/,-74.06139376715662,4.65728198856615
220,4,Universidad de Los Andes,Privado,Principal,KR 1 18A 70,3394949,www.uniandes.edu.co/,-74.06478810715322,4.601376504074407
221,4,Corporación Universidad Piloto de Colombia,Privado,Principal,KR 9 45A 44,3322900,www.unipiloto.edu.co/,-74.0652233831292,4.632745871325201
222,4,Universidad Cooperativa de Colombia,Privado,Principal,AK 14 44 21,3323565,www.ucc.edu.co/,-74.06811347180734,4.632178763130864
223,4,Universidad Cooperativa de Colombia,Privado,Alterna,AK 14 37 63,3323565,www.ucc.edu.co/,-74.0692242997416,4.626131514213073
224,4,Universidad Antonio Nariño,Privado,Principal,KR 38 58A 77,3152973,www.uanarino.edu.co/,-74.08266549758879,4.650051444128278
225,4,Universidad Antonio Nariño,Privado,Alterna,KR 3 ESTE 47A 15 IN 1,3400136,www.uanarino.edu.co/,-74.05752989303238,4.634893663540904
226,4,Universidad Antonio Nariño,Privado,Alterna,KR 7 16 75,3347980,www.uanarino.edu.co/,-74.07283603113862,4.603354309434277
227,4,Universidad Antonio Nariño,Privado,Alterna,CL 22 SUR 12D 81,2093888,www.uanarino.edu.co/,-74.10092036190336,4.579551399799182
228,4,Universidad de Ciencias Aplicadas y Ambientales,Privado,Principal,CL 222  54 39,6684700,www.udca.edu.co/,-74.04621463915345,4.799761529256805
229,4,Universidad de Ciencias Aplicadas y Ambientales,Privado,Alterna,AC 72 14 20,2179345,www.udca.edu.co/,-74.06094394565956,4.659322056728537
230,4,Universidad de Ciencias Aplicadas y Ambientales,Privado,Alterna,KR 17 34 25,2881002,www.udca.edu.co/,-74.07227343244587,4.623792377975242
231,4,Universidad Nacional Abierta y A Distancia,Oficial,Principal,CL 14 SUR 14 31,3443700,www.unad.edu.co/,-74.09751301969136,4.585271301217373
232,3,Fundación Escuela Colombiana de Rehabilitación,Privado,Principal,AK 15 151 68,6270649,www.ecr.edu.co/,-74.03926808743557,4.733267271266223
259,2,Corporación Tecnológica de Bogotá,Privado,Principal,KR 21 53D 35,3483061,www.ctb.edu.co/,-74.07178574426464,4.643479891829723
260,2,Instituto Superior de Ciencias Sociales y Económico Familiares,Privado,Principal,CL 79 14 35 OF 401,6167243,www.icsef.edu.co/,-74.05738132156584,4.664910702215502
261,2,Corporación Tecnológica Industrial Colombiana,Privado,Principal,CL 42 16 68,4856565,www.teinco.edu.co/,-74.0707224533786,4.630800045017625
262,2,Corporación Colombo - Alemana para la Formación Tecnológica,Privado,Principal,KR 52 218 85,6762117,www.icaft.edu.co/,-74.04329991777186,4.79501848687361
263,2,Unión Americana de Educación Superior,Privado,Principal,CL 57 7 27,3478769,www.uniamericana.edu.co/,-74.06233637836739,4.6430598008365
264,2,Escuela Superior de Ciencias Empresariales,Privado,Principal,CL 24 27A 62,2323822,www.cisred.com.co/,-74.08104944725727,4.622800362958533
265,2,Corporación Internacional para el Desarrollo Educativo,Privado,Principal,CL 41  27A 56,3689618,www.cide.edu.co/,-74.07874453103665,4.632334433176128
266,2,Politécnico Santafé de Bogotá,Privado,Principal,CL 71 13 10,7450229,www.psb.edu.co/,-74.06101100399722,4.657466704459582
267,2,Corporación Jhon F. Kennedy,Privado,Principal,CL 46 13 43,2459185,www.jfk.edu.co/,-74.06677861122776,4.633002585787475
268,2,Corporación Universal de Investigación y Tecnología,Privado,Principal,AC 34 15 36,5780330,www.coruniversitec.edu.co/,-74.07077833218253,4.6234510554694275
269,3,Escuela Tecnológica Instituto Técnico Central,Oficial,Principal,AC 13 16 74,3443000,www.itc.edu.co/,-74.08134948456217,4.606304512301818
270,2,Fundación de Educación Superior San José,Privado,Principal,CL 67 14A 29,3470000,No disponible,-74.06442183436748,4.654455721726903
271,1,Fundación para la Educación Superior Real de Colombia,Privado,Principal,KR 17 33A 39,6369260,No disponible,-74.0724657967825,4.623030154780085
272,1,"Fundación Centro de Educación Superior, Investigación y Profesionalización",Privado,Principal,CL 63A 16 38,2483613,www.cedinpro.edu.co/,-74.0668947220715,4.651337481178922
273,1,Fundación Escuela Colombiana de Hotelería y Turismo,Privado,Principal,AK 45 106 63,6184710,www.ecotet.com/,-74.05649901695504,4.694816343755752
274,1,Politécnico Indoamericano,Privado,Principal,CL 39 14 62,3239758,www.ead.edu.co/,-74.06948624758013,4.627105771715899
275,1,Fundación Interamericana Técnica,Privado,Principal,CL 77 28B 42,2312871,www.fit.edu.co/,-74.06837124966634,4.670106626447337
276,1,Fundación de Educación Superior Nueva América,Privado,Principal,DG 46A SUR 53A 11,7111063,www.nuevaamerica.edu.co/,-74.13948402195435,4.59351577204161
277,1,Fundación Instituto Superior de Carreras Técnicas,Privado,Principal,KR 9 48 39,5707343,www.insutec.edu.co/,-74.06505401566383,4.635535341917237
278,1,Fundación para la Educación Superior San Mateo,Privado,Principal,KR 17 25 25,3309999,www.funsanmateo.edu.co/,-74.07376406179404,4.615095049193705
279,1,Politécnico Internacional Institución de Educación Superior,Privado,Principal,CL 73 10 45,3130013,No disponible,-74.05752787002636,4.6576682089888815
280,1,Corporación Politécnico Colombo Andino,Privado,Principal,CL 19 3 16 PISO 2,2832845,www.polcolan.edu.co/,-74.06834996678062,4.603491062056105
281,1,Corporación Técnica de Colombia,Privado,Principal,CL 70 12 08,2453735,www.corpotec.edu.co/,-74.06130004861798,4.656003349021227
282,1,Corporación Centro de Estudios Artísticos y Técnicos,Privado,Principal,CL 42 13 26,3146886,www.ce-art.edu.co/,-74.06713922732216,4.629999250859432
283,3,Corporación Universitaria CENDA,Privado,Principal,AK 14 35 18,2329084,No disponible,-74.06890586044811,4.623991184454352
